"BRN","Brunei","Asia","Southeast Asia","5765.00","1984","328000","73.6","11705.00","12460.00","Brunei Darussalam","Monarchy (Sultanate)","Haji Hassan al-Bolkiah","538","BN"
"IDN","Indonesia","Asia","Southeast Asia","1904569.00","1945","212107000","68.0","84982.00","215002.00","Indonesia","Republic","Abdurrahman Wahid","939","ID"
"KHM","Cambodia","Asia","Southeast Asia","181035.00","1953","11168000","56.5","5121.00","5670.00","Kâmpuchéa","Constitutional Monarchy","Norodom Sihanouk","1800","KH"
"LAO","Laos","Asia","Southeast Asia","236800.00","1953","5433000","53.1","1292.00","1746.00","Lao","Republic","Khamtay Siphandone","2432","LA"
"MMR","Myanmar","Asia","Southeast Asia","676578.00","1948","45611000","54.9","180375.00","171028.00","Myanma Pye","Republic","kenraali Than Shwe","2710","MM"
"MYS","Malaysia","Asia","Southeast Asia","329758.00","1957","22244000","70.8","69213.00","97884.00","Malaysia","Constitutional Monarchy, Federation","Salahuddin Abdul Aziz Shah Alhaj","2464","MY"
"PHL","Philippines","Asia","Southeast Asia","300000.00","1946","75967000","67.5","65107.00","82239.00","Pilipinas","Republic","Gloria Macapagal-Arroyo","766","PH"
"SGP","Singapore","Asia","Southeast Asia","618.00","1965","3567000","80.1","86503.00","96318.00","Singapore/Singapura/Xinjiapo/Singapur","Republic","Sellapan Rama Nathan","3208","SG"
"THA","Thailand","Asia","Southeast Asia","513115.00","1350","61399000","68.6","116416.00","153907.00","Prathet Thai","Constitutional Monarchy","Bhumibol Adulyadej","3320","TH"
"TMP","East Timor","Asia","Southeast Asia","14874.00",NULL,"885000","46.0","0.00",NULL,"Timor Timur","Administrated by the UN","José Alexandre Gusmão","1522","TP"
"VNM","Vietnam","Asia","Southeast Asia","331689.00","1945","79832000","69.3","21929.00","22834.00","Viêt Nam","Socialistic Republic","Trân Duc Luong","3770","VN"
